FIPS,label,type,value,title
1,AL,state,30.6,Cumulative incidence of a LDC-C test at 90 days post-MI %
2,AK,state,17.1,
4,AZ,state,32.5,
5,AR,state,26.8,
6,CA,state,33.2,
8,CO,state,26.3,
9,CT,state,29.8,
10,DE,state,29.9,
11,DC,state,25.2,
12,FL,state,38.4,
13,GA,state,31.7,
15,HI,state,42.6,
16,ID,state,20.2,
17,IL,state,26.5,
18,IN,state,23.7,
19,IA,state,21.3,
20,KS,state,21.9,
21,KY,state,28.9,
22,LA,state,29.1,
23,ME,state,22.9,
24,MD,state,30.4,
25,MA,state,30.4,
26,MI,state,25.7,
27,MN,state,21.7,
28,MS,state,26.9,
29,MD,state,26.1,
30,MT,state,18.4,
31,NE,state,23.6,
32,NV,state,33.3,
33,NH,state,29,
34,NJ,state,38.5,
35,NM,state,23.7,
36,NY,state,40.4,
37,NC,state,29.4,
38,ND,state,21.2,
39,OH,state,25.4,
40,OK,state,22.6,
41,OR,state,21.8,
42,PA,state,29.6,
44,RI,state,32.3,
45,SC,state,30.3,
46,SD,state,27.6,
47,TN,state,31.7,
48,TX,state,32.2,
49,UT,state,25.9,
50,VT,state,19.6,
51,VA,state,28.8,
53,WA,state,22.7,
54,WV,state,26.8,
55,WI,state,25,
56,WY,state,23.6,
2013,AK,county,15.7,
2020,AK,county,16.5,
2050,AK,county,15.7,
2060,AK,county,15.7,
2068,AK,county,15.7,
2070,AK,county,15.7,
2090,AK,county,15.7,
2100,AK,county,15.7,
2105,AK,county,15.7,
2110,AK,county,15.7,
2122,AK,county,15.2,
2130,AK,county,15.7,
2150,AK,county,15.7,
2164,AK,county,15.7,
2170,AK,county,23,
2180,AK,county,15.7,
2185,AK,county,15.7,
2188,AK,county,15.7,
2195,AK,county,15.7,
2198,AK,county,15.7,
2201,AK,county,15.7,
2220,AK,county,15.7,
2230,AK,county,15.7,
2232,AK,county,15.7,
2240,AK,county,15.7,
2261,AK,county,15.7,
2270,AK,county,15.7,
2275,AK,county,15.7,
2280,AK,county,15.7,
